Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
Toyota Highlander for sale,"2,800,000",Toyota,Highlander,2001,,Automatic,,Petrol,,Asaba,99
Lexus rx330 for sale,"1,150,000",Lexus,RX,2001,,Automatic,,Petrol,,Asaba,86
Toyota Corolla for sale,"1,000,000",Toyota,Corolla,2001,,Automatic,,Petrol,,Lagos,58
2004 Toyota Camry Very Neat,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,358241
2004 Toyota Camry Very Neat,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,358451
HONDA ACCORD ,"1,000,000",Honda,Accord,2002,,Automatic,,Petrol,,Jos,2164
2009 Toyota Avalon,"1,100,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Ibadan,5461
2010 Toyota Highlander,"2,000,000",Toyota,Highlander,2002,,Automatic,,Petrol,,Uwani,136
2006 Lexus RX,"1,000,000",Lexus,RX,2002,,Automatic,,Petrol,,Asaba,257
2005 Toyota Corolla,"1,500,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Ibadan,1354
2006 Lexus RX 350,"1,000,000",Lexus,RX,2002,,Automatic,,Petrol,,Abuja,12365
2009 Toyota Camry,"1,200,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abeokuta,6712
2008 TOYOTA SIENNA,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Abakaliki,13486
HONDA CVR,"1,000,000",Honda,CR-V,2002,,Automatic,,Petrol,,Ibadan,23418
2010 NISSAN leaf ,"1,100,000",Nissan,Leaf,2002,,Automatic,,Petrol,,Aaaago,14338
